Assay,Intercept,InterceptSe,PreSlope,PreSlopeSe,PostSlope,PostSlopeSe,PValue
IFNg,0.2997176248118354,0.1979350050100137,0.029573779756117503,0.04306816391805603,0.6228398489545397,0.17646348036623266,0.0031297841099986005
IL-10,-3.5595057054172887,0.14163534061584201,0.011266215201552902,0.03068131987244005,0.5653097564019112,0.1271399263952706,1.9042753517759092e-4
IL-12p70,-1.4168939007003853,0.11601062566099714,-0.018528380361608695,0.02504777245484154,0.48933036459603824,0.10451582328955727,3.1158412375258244e-5
IL-17A,1.6327699996465037,0.24207357089195816,0.039720951735757064,0.05312320146484979,0.925337514061267,0.2118028618016392,2.6854206865672525e-4
IL-18,8.560097191169472,0.3308657129798887,0.0836924443958767,0.0720546830888548,0.46068335079880524,0.2945086172614617,0.2518896973964601
IL-1a,6.016619168533102,0.25148418922731586,0.020937688953027184,0.05563689738949345,0.7108557127487565,0.214692951180889,0.00464966948676151
IL-1b,1.8886228164794359,0.3938039351868313,-0.03832276425814388,0.08574178864718647,1.6041194527857814,0.35067747835910784,5.2934287882836884e-5
IL-2,0.41419949372306725,0.23406770383411024,3.449096266040973e-4,0.051418773031747966,0.9916997206040794,0.2042406353640791,2.7904628660579187e-5
IL-6,1.3592552339731419,0.3737982129312881,-0.0757203930355766,0.08184835916707513,0.8847921017128789,0.32888304146605735,0.009831884967901017
IL-7,0.3931347662580505,0.16284562110579306,-0.021432008485056196,0.03552746775486675,0.3052935620435703,0.14444489584089795,0.04432678951590882
CXCL8,8.325089161903401,0.29471952745928237,-0.033917285851462066,0.06382331380263416,1.0903613190037942,0.26465992173346514,2.3371172763561447e-4
IL-1RA,15.640336187757727,0.2466472447452282,0.07452603639868495,0.05503037854692043,0.5413506646965096,0.2034993248778754,0.04229668605101558
CXCL10,6.877038940123488,0.3277668555535692,0.03424807188978068,0.07201739897069222,0.7019874995754456,0.2858339930430085,0.0379703023673399
CXCL9,5.258107131533727,0.24793981553240563,0.009349306110157453,0.05391407054950392,0.5357543055777129,0.22129071796470642,0.03466164005093984
CCL3,4.5219082992563395,0.18983845726170429,0.05299176191456899,0.04106577744323779,0.533019380326118,0.17069944017743455,0.012890547294056675
CCL4,2.2175437375922407,0.23969522666092216,-0.029701078507739984,0.05204802775954239,0.7491508886442971,0.2144256778573305,0.0014667430411853212
CCL20,4.547961408027552,0.3583172888659074,-0.09624612870622011,0.0785605140418217,0.6855872002976917,0.314255225695192,0.027241199378603465
CCL5,4.415369386307151,0.2843490469368336,0.09283401244907048,0.06264472554286653,0.5615680711605343,0.24607116708796498,0.08980639969139388
TNF,-0.21125512664782,0.2602004912343546,-0.007494688147023602,0.056429878368971835,0.9811161102741589,0.23320558604880298,2.3946581405032312e-4
